text,label,language
"Trump budget to give first look at infrastructure plan. WASHINGTON (Reuters) - President Donald Trump will propose $200 billion in infrastructure spending over 10 years in his first budget on Tuesday - funding the administration believes will boost private, state and local spending on projects, a White House official said on Friday. The infrastructure plan, first reported by Bloomberg News, is likely to include funding to encourage state and local governments to lease assets to the private sector to generate funding for other projects. Trump has long pledged a $1 trillion, 10-year plan to modernize U.S. roads, bridges, airports, the electrical grid and water systems, but has so far been vague on how much of the spending would come from the federal government. Trump, who leaves on Friday for his first foreign trip, will miss the roll-out of his full budget. He was to meet with his budget director, Mick Mulvaney, on Friday before departing. The budget will also include details about Trump’s proposals to cut foreign aid and boost military spending. It could provide clues on his plan to cut taxes. The Washington Post reported that the budget will include funds for a program to give parents six weeks of paid leave after the birth or adoption of a child, expected to cost about $25 billion a year. While Trump can propose programs, Congress ultimately controls spending and rarely approves White House budget plans as proposed. Republicans control both the Senate and House of Representatives, but were lukewarm to Trump’s initial “skinny budget” plan for fiscal 2018, released in March. ",0,en
"Ryan says Democratic 'sit-in' demanding gun control vote is publicity stunt. WASHINGTON (Reuters) - U.S. House of Representatives Speaker Paul Ryan said on Wednesday a sit-in by Democratic representatives aimed at pushing for a vote on gun control legislation was a publicity stunt and he would not bring the bill up for a vote. “They know that we will not bring a bill that takes away a person’s constitutionally guaranteed rights without ... due process,” Ryan said in an interview with CNN. “We don’t agree with that. The Senate already doesn’t agree with that.... This is a publicity stunt.” ",0,en
no,0,hi
no,1,hi
no,0,hi
" WATCH: Bernie Sanders Absolutely BERNS Donald Trump During Interview. Donald Trump and his and the conservative media have been pushing a conspiracy theory that Bernie Sanders and his supporters are responsible for shutting down his rally in Chicago Friday.During a segment on CNN s State of the Union, Sanders fired back at Trump for some of the absurd claims the Republican primary front-runner has made. For a start, we should take Mr. Trump s words with a grain of salt,  Sanders told the show s host, Jake Tapper.  Because I think almost everybody knows, this man cannot stop lying about anything. To call me a communist is a lie. To talk about our organization, our campaign, disrupting his meeting is a lie. As I have previously pointed out, Trump decided to cancel his rally in Chicago. It was an event open to the public. The public showed up and Trump could not handle that. As Sanders notes, Trump s Republican primary rivals have even pointed out that Trump got what he was asking for. Even his Republican colleagues make this point,  Sanders went on to say.  His language, his intonations, when you talk about carrying people out in stretchers, you see at his rallies people sucker-punched, folks kick people when they re down. This is a man who keeps implying violence, and then you end up getting what you see. Sanders is drawing on a comment made by Marco Rubio, who said: I know people like it that Donald Trump says whatever he wants and whatever they feel like saying. Presidents cannot say anything they want. Presidents have to understand that their words have consequences, often life and death consequences, for real people in the real world. Then there is the fact that Trump has frequently encouraged his followers to inflict violence against those who protest his events. With the media focused on Chicago last Friday, many people didn t see the chaos Trump s supporters unleashed in St Louis earlier that day. I think that he, in fact, has got to tell his supporters that in the United States of America we don t go beating up people, that people have a right to peacefully protest, and I hope that becomes the tone of his campaign. You can watch the interview below in full.https://www.youtube.com/watch?v=Hwe5R3VsQYMFeatured image via video screen capture ",1,en
no,0,hi
no,1,hi
no,1,hi
no,0,hi
no,1,hi
" Fox News Host Calls For American Muslims With Links To ISIS To Be Executed Without Trial (VIDEO). Fox News host,Judge Jeanine Pirro appeared to endorse the summary execution of Muslims suspected of links to ISIS-related terrorism without due process under the law.Pierre asked her viewers if the U.S. should apply the death penalty for ISIS-related violence. There was no real definition of what scale of violence or links to ISIS would apply. And the U.S. already lists 41 crimes as capital   meaning they are punishable by death   including murder, assassination, espionage, treason, and death resulting from aircraft hijacking. It is not supposed to matter what religious, racial or other motivation a suspect has of committing these crimes   the court is only interested in whether they committed the acts or not.In short, there is no need for a new capital crime specific to Muslims. Unless of course, you re a Fox News blowhard with an axe to grind.The responses from her viewers began as expected.A viewer named Josephine raged: They aren t afraid to kill us, so why should we be afraid to give them the death penalty? While Kevin wrote: We ve got a few guns down here in Texas, and more than happy to handle it!, Pierre reads this out with a grin reaching from ear-to-ear as if she s about to break out into a  Happy Birthday  song or something   when she is infact, calling for the summary execution of Muslims.She reads out Al s comment with the same hysterical smirk on her face: Why waste taxpayer money holding them in prison? They d kill us in a heartbeat. Adding her own snarky reply: Hey Al, and if we held them in prison Obama would let them out! But even amongst the viewership of Fox News, there are some people who have a respect for law and order   and the need to actually investigate a person suspected of committing a crime, rather than arbitrarily killing them. One such viewer, named Kimberly, said: Don t get ahead of yourselves. Everyone deserves a fair trial. Let the courts decide. This sent Pirro into a rage-induced tailspin of a rant in which she saw fit to lecture Kimberly. Hey Kimberly,  she snorts.  I drafted legislation all the time to increase sentences for punishment. The courts are the ones that implement the laws that we draft. Here we have a Fox News host openly endorsing the summary execution of Muslims, presumably Muslim-Americans, who are even suspected of ISIS-related violence. A channel which calls it unconstitutional to ask a white christian to register his gun, thinks it s totally appropriate to summarily execute a Muslim. Fair and balanced? Not a chance.Featured Image vis Screengrab",1,en
no,0,hi
no,0,hi
"Hillary Clinton calls for U.S. to bomb Syrian air fields.  NEW YORK (Reuters) - In her first interview since her stunning presidential election defeat by Republican rival Donald Trump, Hillary Clinton on Thursday called for the United States to bomb Syrian air fields.  Clinton, in an interview at the Women in the World Summit in New York, also called Russian interference in the 2016 presidential election a theft more damaging than Watergate.  MORE FROM REUTERS Exclusive: Mexico opens up its heroin fight to U.S., U.N. observers Macau billionaire's aide pleads guilty in U.N. bribe case Slideshow: Top photos of the week Asked whether she now believes that failing to take a tougher stand against Syria was her worst foreign policy mistake as secretary of state under President Barack Obama, Clinton said she favored more aggressive action against Syrian President Bashar al-Assad.  “I think we should have been more willing to confront Assad,” Clinton said in the interview, conducted by New York Times columnist Nicholas Kristof.  “I really believe we should have and still should take out his air fields and prevent him from being able to use them to bomb innocent people and drop sarin gas on them.”  Clinton noted that she had advocated for a no-fly zone in Syria after leaving government, something that Obama opposed.  Her remarks came two days after a poison gas attack in Syria that killed at least 70 people, many of them children. The U.S. government believes the chemical agent sarin was used in the attack. The United States and other Western countries blamed Assad’s armed forces for the worst chemical attack in Syria in more than four years.  Trump said on Thursday that “something should happen” with Assad after the attack, as the Pentagon and the White House studied military options.  When asked about Russian interference in the presidential election she lost as the Democratic candidate in November, Clinton called for a bipartisan investigation.  “I don’t want any Republican candidate to be subjected to what I was subjected to....I don’t want anybody running campaigns to have their communications stolen,” she said.  U.S. intelligence agencies have said that Russia provided hacked material from the Democratic National Committee to WikiLeaks through a third party. Russia has denied the hacking allegations.  “It was a more effective theft even than Watergate,” Clinton told Kristof before an audience of about 3,000 people at New York’s Lincoln Center, referring to the U.S. political scandal of the 1970s that led to the resignation of President Richard Nixon.  “We aren’t going to let somebody sitting in the Kremlin, with bots and trolls, try to mix up our election. We’ve got to end that and we have to make sure that is a bipartisan, American commitment.”  Representative Devin Nunes, a Republican, earlier on Thursday stepped aside from the congressional inquiry into Russian meddling in the U.S. presidential election because he is under investigation for disclosing classified information. Representative Mike Conaway, the second-ranked Republican on the House of Representatives intelligence committee, will now lead the probe.  Clinton attributed her White House loss to both Wikileaks and FBI Director James Comey’s sending a bombshell letter to Congress only days before the election announcing he was reinstating an investigation into her emails.  Asked whether it was bittersweet to watch the stumbles of the Trump administration in its early days, she declined to agree.  “I don’t take any pleasure in seeing the kind of chaotic functioning,” Clinton said.  Clinton said she has no intention of another run for public office and said she is writing a book that, in part, delves into just what derailed her attempt to become America’s first woman president.  “For people who are interested in this, the nearly 66 million people who voted for me, I want to give as clear and as credible an explanation as I can.”  ",0,en
no,0,hi
"Germany condemns latest North Korea missile test in strongest terms. BERLIN (Reuters) - Germany said on Friday it condemned North Korea s latest missile test in the strongest terms. North Korea fired a missile that flew over Japan s northern Hokkaido far out into the Pacific Ocean earlier on Friday, South Korean and Japanese officials said, deepening tension after Pyongyang s recent test of its most powerful nuclear bomb.  The government condemns the latest missile test from North Korea in the strongest terms,  a government spokesman told a regular government news conference. ",0,en
no,0,hi
no,0,hi
no,0,hi
"Clinton bests de Blasio in hypothetical NYC mayor race: poll. NEW YORK (Reuters) - If Hillary Clinton decided to run as an independent for New York City mayor this year, she would open with a sizable lead over incumbent Democrat Bill de Blasio, according to Quinnipiac University poll released on Wednesday. Clinton led de Blasio 49 percent to 30 percent in the survey of 1,138 city voters. It had a margin of error of plus or minus 2.9 percentage points, meaning results could vary that much either way. Since Democrat Clinton’s loss to Republican President-elect Donald Trump in November, there has been speculation that the former U.S. secretary of state and U.S. senator from New York state might set her sights on the New York City mayoralty this year. Political analysts have dismissed the rumors, saying there is little chance Clinton, 69, would seek de Blasio’s office after coming so close to winning the White House. Clinton’s camp has not denied the possibility outright, though advisers have said they do not expect her to seek public office again. A spokesman for de Blasio’s re-election campaign and a Clinton spokesman did not immediately respond to requests for comment. The poll may also be a reflection of de Blasio’s public standing, which has had its ups and downs during his four-year term. Forty-five percent of those surveyed approved of de Blasio, while a nearly identical 46 percent did not. Nevertheless, the poll showed de Blasio ahead of other possible challengers, including former city council speaker Christine Quinn, who lost to de Blasio in the 2013 Democratic primary, and City Comptroller Scott Stringer. “New Yorkers aren’t in love with Mayor Bill de Blasio, but they seem to like him better than other possible choices – except Hillary Clinton, who probably is an impossible choice,” Tim Malloy, the poll’s assistant director, said in a statement. The poll was apparently the first major survey to include Clinton as a potential mayoral candidate. New York City has never had a female mayor. In the Nov. 8 presidential election, Clinton captured more than 80 percent of New York City votes, even though Trump was born and raised in the heavily Democratic city. She moved in 1999 to Chappaqua, New York, about 30 miles north of the city, in order to run for the U.S. Senate. ",0,en
no,1,hi
" Bin Laden’s Brother Lived In Trump Tower, Gave Millions To The Donald. Back in June, on Facebook, Donald Trump called on Hillary Clinton to return millions of dollars the Clinton Foundation received in donations from Saudi Arabia: Crooked Hillary says we must call on Saudi Arabia and other countries to stop funding hate. I am calling on her to immediately return the $25 million plus she got from them for the Clinton Foundation! For months now the right has used the Saudi donations as definitive  proof  that Clinton is beholden to oppressive regimes, and isn t serious about protecting women s rights and LGBT rights.But while the right is hailing their newfound champion of women s rights and gay rights, maybe they should take a look at how much money he s taken from the Saudi government   personally   and how he allowed Osama Bin Laden s brother to live in the famous Trump Tower.Had Hillary Clinton allowed a Bin Laden such private access, the right wing media would have a field day. But since it s Donald Trump, he gets a free pass.According to a new expos  by The Daily News, Trump has received over $5.7 million dollars from the Saudi government after selling  sold the 45th floor of Trump World Tower to the Kingdom. Since 2001, the government has had to pay the Trump Organization $85,585 for building amenities a year.Before the payoff of real estate, Trump also allowed Osama Bin Laden s half-brother, Shafiq Bin Laden, to live in the apartment for four months in 1986.Perhaps Trump can follow his own example and can go ahead and give the $5.7 million back to the Saudi government, and explain why he allowed the brother of the world s most dangerous and wanted terrorist to live at his crowning achievement.How is Trump going to hold the Saudi government accountable when they have direct ownership in his business? Trump has already hinted that he would not step down from the Trump organization, raising high levels of potential conflicts of interest for the United States government.But let s keep pretending Hillary Clinton hasn t done anything for women and LGBT people because Donald Trump has such a great track record when it comes to equality.Featured image via Joe Freso/Getty Images",1,en
"DOJ Funneled Housing Crisis Money To Immigrant Activist Groups Like La Raza. Our DOJ and other government agencies are doing whatever they want to do with YOUR money! Congress is investigating the funneling of money to radical open borders groups: The use of these settlements to create incentives for shaping broader housing policy shows a disregard for separation of powers considerations inherent in the U.S. Constitution. Lawlessness rules the day in the Obama administration Unreal!Justice Department officials used unusual bank settlements to fund liberal activist groups without the consent of Congress, rather than help the victims of the housing crisis, according to congressional investigators. Instead of trying to help more people who were harmed by the downturn, they instead decided to line the pockets of third-party groups,  House Financial Services oversight subcommittee Chairman Sean Duffy, R-Wis., told reporters Friday morning in a call hosted by Cause of Action.The DOJ bank settlements have attracted suspicion in both chambers of Congress, where Republicans have practical concerns about where the money went, as well as constitutional problems with how the Justice Department came up with a plan to extract money from banks that it could use without having to go through a congressional appropriations process.Senate investigators are especially frustrated with how the Justice Department circumvented Congress and the law.  The DOJ used the threat of litigation   and the corresponding financial and reputational costs   to cause the banks to take actions that a court would not have ordered them to do,  according to a report issued late Thursday by Senate Homeland Security Committee Chairman Ron Johnson, R-Wis.  The use of these settlements to create incentives for shaping broader housing policy shows a disregard for separation of powers considerations inherent in the U.S. Constitution. Read more: WE",1,en
no,0,hi
no,0,hi
no,0,hi
no,0,hi
no,1,hi
no,0,hi
no,1,hi
no,0,hi
"Trump to meet Indiana Governor Mike Pence over the weekend. WASHINGTON (Reuters) - Donald Trump will meet this weekend with Indiana Governor Mike Pence, a Pence spokesman said on Friday, after a report the governor was being vetted as a potential running mate for the Republican presidential candidate. As the Republican candidate for vice president, Pence, a social conservative from a Midwestern state, could help the real estate mogul reassure wary Republicans. The governor, who faces a tight race for re-election to a second term in Indiana, has praised Trump in the past but did not back him in the Republican Party’s nominating race. “Governor Pence has accepted an invitation to spend a little time with Mr. Trump this weekend,” said Marc Lotter, deputy campaign manager of Pence’s re-election effort. “This meeting is very consistent with meetings Mr. Trump is holding with many key party leaders.” Earlier, MSNBC, citing unnamed sources, said Trump is considering Pence, 57, as a potential running mate. The network, which first reported the upcoming meeting, said it was part of the vetting process. New Jersey Governor Chris Christie and former U.S. House of Representatives Speaker Newt Gingrich are also under consideration to be Trump’s running mate, sources told Reuters.  “Trump is meeting with a number of Republican leaders in the run-up to the convention in Cleveland, and he has a good relationship with Gov. Pence,” Trump campaign spokesman Jason Miller said in an email. Republicans will hold their party convention July 18-21 in Cleveland to formally pick their nominee ahead of the Nov. 8 presidential election. Trump, 70, a real estate mogul and former television reality star, was scheduled to speak at rally in Colorado on Friday. He has said he has narrowed down his potential running mates to five or six contenders, according to media reports. On Thursday, Pence told reporters he had not spoken with Trump since before Indiana’s May 3 primary contest, MSNBC said. The governor had earlier pledged to back former Trump rival Ted Cruz, a U.S. senator from Texas and Tea Party favorite. ",0,en
no,0,hi
no,1,hi
no,0,hi
no,1,hi
no,0,hi
yes,1,hi
no,0,hi
"[VIDEO] DOES SEEING TWO NAKED LESBIANS IN BED TOGETHER MAKE YOU WANT TO EAT YOGURT? Chobani Apparently Thinks It Does. It s a shame really when a company who produces a really great product is more driven by their desire to promote a perverted social message than to actually promote their product. My husband thanks you Chobani, because of your decision to shove your brand of  diversity  down our throats, he ll have 20 less cartons of Chobani yogurt to shift around in our refrigerator every week. Greek yogurt brand Chobani debuted the latest television spot for its Simply 100 yogurt on Monday, with a surprise twist at the end in the closing seconds of the ad, the couple eating yogurt in bed are revealed to be lesbians.Created by ad agency Opperman Weiss, the 30-second spot, part of the brand s new seven-part  Love This Life  campaign, features a naked woman eating Chobani yogurt in bed next to her partner. The woman leans over and tickles her partner s foot, then seductively slides off the bed as the brand s new slogan appears onscreen.Chobani CMO Peter McGuiness told ad industry magazine AdWeek that using a lesbian couple in the spot was a  natural progression  for the new campaign. The campaign hopes to highlight a  series of modern American stories that connect the brand s values to its fans  values. For us, it s why not [feature a same-sex couple]   not why,  McGuiness told AdWeek.  There s nothing new here, per say. Inclusion and equality has been and is foundational and fundamental to the company. Chobani is the latest brand to include same-sex couples in its advertising. In January, luxury jewelry outlet Tiffany & Co. introduced its first-ever spot featuring a gay couple getting engaged. Other brands featuring same-sex couples in its ads include Wells Fargo and clothing retailer Gap.Television advertising represents something of a new frontier for the LGBT movement. Of course, television itself has exploded with critically-acclaimed programming featuring gay and transgender characters.Bruce Jenner, who came out as a woman last month on a now-infamous Vanity Fair magazine cover, is set to star in I Am Cait, a new eight-part docu-series about living as a transgender woman premiering this summer on the E! network. Fourteen-year-old transgender high-schooler Jazz Jennings will also get her own reality show, All That Jazz, on TLC this summer. Those shows are just the first in an expected bump in transgender-themed reality television programming.Transgender actor Laverne Cox earned an Emmy nomination for the Netflix prison series Orange is the New Black, while Jeffrey Tambor picked up a Golden Globe for his role as transitioning father Maura Pfefferman in Amazon s Transparent, which itself won Best Television Series honors at this year s Globes.Over on network television, Jussie Smollet portrays Jamal Lyon, the gay son of a hip-hop mogul on Empire, the biggest show on TV last season. And in March, ABC Family s The Fosters made history by airing the youngest-ever same-sex kiss between two 13-year-old boys.Via: Breitbart NewsBelow, you will find the message I sent to Chobani. Please feel free to send your own message to this address: www.care.chobani.comHave you lost your mind? What were you thinking when you produced a commercial for your high quality yogurt featuring two naked lesbian women in bed? I have a few large social media sites, and as I sit writing about your choice to place your social messaging above your product, I realize that the 20-25 cartons of Chobani I buy for myself and my three athletic daughters will be the last Chobani yogurt I buy. When my girls ask me  why?  I will have to explain to them that you have chosen to push a minority lifestyle on everyday Americans with no regard for how it may affect the young children and traditional families who purchase your product. I have nothing against gay relationships, I do however, have something against a company who I have been so loyal to for so long, choosing to push a lifestyle on America that we simply don t want pushed on us. My husband will be happy, as he ll have more room in the fridge to keep his beer cold, because I will now be buying the large containers of Fage yogurt and adding my own fruit. So long Chobani! I hope your message was worth the backlash you will certainly receive. You ve pushed the envelope too far this time Here is their emailed response(inlcuding the name of the respondent as well as his phone number: Hey, Patty.Thank you for sharing your thoughts with us about our newest  Love This Life  commercial.We launched our  Love This Life  campaign in May to reflect our fans and celebrate the role that natural food plays in their lives.As part of our founding mission to make better food for more people, inclusiveness is at the heart of our company. We re proud that our products are enjoyed by all and celebrate that diversity.Since our founding, we ve always believed in honesty and authenticity in everything we do. This campaign is part of that mission, and we hope you understand that we re staying true to our founding mission.We take your feedback very seriously and will of course share it, and we want to personally thank you for reaching out to us.Regards, Shawn Shawn Hess Customer Loyalty Team Lead 147 State Highway 320  Norwich, New York 13815 877-847-6181 www.chobani.com ",1,en
no,0,hi
no,1,hi
"Airlines limit Bali flights to guard against volcanic ash. DENPASAR, Indonesia (Reuters) - A window appeared to be closing on Friday for travelers stranded on the Indonesian holiday island of Bali as airlines cut back on flights, fearing a return of plumes of volcanic ash.  An erupting volcano closed the airport for most of this week, stranding thousands of visitors from Australia, China and other countries, before the winds changed and flights resumed. Australian budget airline Jetstar said it would cancel nine flights on Friday after meteorological officials warned the ash could hit operations at Bali airport, about 60 km (37 miles) southwest of the Mount Agung volcano. Malaysia s AirAsia Bhd said it would only operate out of Bali during the day, as the ash could impair visibility at night and wind conditions in the area were unpredictable.   They don t have an answer if they have space for us for the next flight,  said Martim Cazado, a traveler who was trying to get home to Portugal via Singapore but had been unable to get a flight. He was worried he might be stuck waiting in front of the Bali airport s departure hall for a few days, he added.      A column of white smoke and ash hung above Mount Agung, where tremors continued, meteorological officials said, although with decreasing frequency, while lava sparks flash at night. Ash was visible to the southeast of Mount Agung, the Darwin Volcanic Ash Advisory Centre said on its website.    Volcanological sources indicate a larger eruption is still possible,  it said. The wind was blowing the ash toward the east and the airport was clear for normal operations, Indonesia s transport ministry said in a statement. Jetstar and its parent, Qantas Airways Ltd, had planned up to 18 flights on Friday to ferry 4,300 passengers home to Australia, including one by a Qantas 747 jet. But Jetstar will cancel nine flights after  a sudden change in today s forecast for this evening in Bali,  it said in a website update. Other airlines with regular Bali flights, including Singapore Airlines Ltd and Garuda Indonesia, have not posted website updates on Friday evening s flight plans. Airlines avoid flying through volcanic ash as it can damage aircraft engines, clogging fuel and cooling systems, hampering pilot visibility and even causing engine failure. A tropical cyclone south of Java island altered wind direction in the area, including for Bali, where it could bring heavy rains and strong winds until Saturday, the Indonesian Meteorological, Climatological and Geophysics agency said. About 10,700 foreign and 6,400 domestic tourists left Bali on Thursday, airport data showed.  Thousands of residents remain in a 10-km (6-mile) danger zone around the volcano, reluctant to leave for religious reasons or unwilling to abandon homes and livestock.  A rescue team escorted 10 people off its southwestern slope on Friday, some of whom said they had endured days of falling ash and feared potentially deadly volcanic mud flows.  An estimated 90,000 to 100,000 people live in the danger area near the volcano in eastern Bali. ",0,en
"RNC's Priebus takes dim view of anti-Trump third party talk. WASHINGTON (Reuters) - The chairman of the Republican National Committee sought on Friday to tamp down talk among some Republicans about the possibility of running a third-party candidate who would give party supporters a choice beyond Donald Trump. In an interview, RNC Chairman Reince Priebus said a third-party candidate would have no hope of actually winning the Nov. 8 presidential election but would instead ensure victory for the Democratic nominee. “They may as well jump off the top floor of a building because that’s what we’d be doing by having a third party,” Priebus said. Priebus has been a vocal advocate for party loyalists to get over their concerns about Trump and support him since he is on track to become the presidential nominee and stands as the only real option for Republicans to win the White House. He brought Trump together with House of Representatives Speaker Paul Ryan for a meeting in Washington on Thursday to try to ease Ryan’s concerns about backing the billionaire.  Ryan stopped short of endorsing Trump but said the session was productive. Priebus said the two men have opened a dialogue. “My guess is they may even be talking today and through the weekend (on the phone),” he said. Priebus said a Democratic victory would allow Democrats to reshape the conservative majority on the Supreme Court. If Republican donors sit on the sidelines, Democrats could also take over control of the U.S. Senate, he said. “If you don’t participate in the presidential election you might as well kiss away the Senate as well,” Priebus said in a message directed at Republican donors unenthusiastic about Trump. “The Senate goes as the presidential race goes. They’re inextricably intertwined.” Some Republicans continue to hold out hope that a leading figure in the party could be persuaded to run for president as a third-party candidate to give party voters uncomfortable with Trump a candidate to rally around. Some speculation has centered around 2012 nominee Mitt Romney, who has been a frequent critic of Trump. Just this week Romney said Trump should release his tax records, a public disclosure move that Romney made in 2012 but which Trump has been resisting. Some Republicans have been urging Romney to launch an independent bid for the presidency. He discussed the issue last week with William Kristol, editor of the conservative-leaning Weekly Standard magazine, a source close to Romney said. ",0,en
"Indian court's privacy ruling is blow to government.  (Story corrects to fix spelling in paragraph 10 to Jagdish not Jagdeep) By Suchitra Mohanty and Rahul Bhatia NEW DELHI/MUMBAI (Reuters) - India s top court unanimously ruled on Thursday that individual privacy is a fundamental right, a verdict that will impact  everything from the way companies handle personal data to the roll-out of the world s largest biometric ID card program. A nine-member bench of India s Supreme Court announced the ruling in a major setback for the Narendra Modi-led government, which argued that privacy was not a fundamental right protected by the constitution.     The court ordered that two earlier rulings by large benches that said privacy was not fundamental in 1954 and 1962 now stood overruled, and it declared privacy was  an intrinsic part of the right to life and liberty  and  part of the freedoms guaranteed  by the constitution.  This is a blow to the government because the government had argued that people don t have a right to privacy,  said Prashant Bhushan, a senior lawyer involved in the case. Constitutional experts believe the judgment has a bearing on broader civil rights, and a law that criminalizes homosexuality.     Lawyers say the judgment will also have an impact on a ban on the consumption of beef in many states and alcohol in some states. In his personal conclusion, Justice Sanjay Kishan Kaul wrote privacy is a fundamental right and it protects the inner sphere of an individual from interference from both state and non-state actors and lets individuals make autonomous life choices.  The privacy of the home must protect the family, marriage, procreation and sexual orientation,  Kaul wrote.  The ruling is the second landmark decision to come from the Supreme Court this week. On Tuesday it ruled that a law allowing Muslim men to divorce their wives instantly by uttering the word  talaq  three times was unconstitutional, in a major victory for Muslim women who have spent decades arguing it violated their right to equality. The privacy judgment was delivered at the end of the tenure of the chief justice of India, Jagdish Singh Khehar, who retires in a few days. It comes against the backdrop of a large multi-party case against the mandatory use of national identity cards, known as Aadhaar, as an infringement of privacy. There have also been concerns over data breaches.  India s Law Minister, Ravi Shankar Prasad, said the ruling was an affirmation of the government s stand that privacy was a fundamental right, but subject to reasonable restrictions. He said it was not a setback to the government s plans for Aadhaar, and noted that the court is separately looking into the legality of the Aadhaar Act. Critics say the ID card links enough data to create a full profile of a person s spending habits, their friends, property they own and a trove of other information. Aadhaar, which over one billion Indians have already signed up for, was set up to be a secure form of digital identification for citizens, one that they could use for government services. But as it was rolled out, concerns arose about privacy, data security and recourse for citizens in the face of data leaks and other issues. Over time, Aadhaar has been made mandatory for the filing of tax returns and operating bank accounts. Companies have also pushed to gain access to Aadhaar details of customers. Those opposed to the growing demand for Aadhaar data cheered the ruling.   Truly a victorious week for India - upholding liberty, dignity and freedom for all,  Jyotiraditya Scindia, a member of parliament from the opposition Congress party, said in a tweet. Bhushan, the senior lawyer involved in the case, said while government demands for the use of Aadhaar for tax purposes could be considered reasonable, any demands for the use of Aadhaar for travel bookings and other purchases could now be questioned in the face of the ruling.  The fact that there was no dissent is an important thing,  said Raman Chima, policy director at Access Now, which defends digital rights.  They made it clear that the government has to protect privacy.  ",0,en
